strategy,oversample_ratio,weight_alpha,objective,f1_macro,lt30_recall,macro_recall,accuracy,n_fit_rows,weight_map,bias_map,error
oversample,0.2,0.0,0.5256755604719183,0.49299885131780474,0.3267670915411356,0.4992246028997786,0.5787704441140346,61872,{},"{""<30"": 3.0, "">30"": 1.1, ""NO"": 0.9}",
oversample,0.1,0.0,0.5251954513195811,0.4895639333589785,0.3563151796060255,0.4997104181140056,0.5788350895339065,61872,{},"{""<30"": 3.0, "">30"": 1.0, ""NO"": 0.9}",
weight_oversample,0.1,0.2,0.5205379468736658,0.4719863825631212,0.4855156431054461,0.5056014718433461,0.5425043635658413,61872,"{""NO"": 1.0, "">30"": 1.0906862053806827, ""<30"": 1.3702570854832443}","{""<30"": 3.0, "">30"": 1.0, ""NO"": 0.9}",
baseline,0.0,0.0,0.5189508552909325,0.4840145864612686,0.34936268829663963,0.4943371091362234,0.5730816471652983,61872,{},"{""<30"": 3.0, "">30"": 1.0, ""NO"": 0.9}",
weight_oversample,0.2,0.35,0.5176322974560075,0.4665894237595996,0.5104287369640788,0.5046279062251816,0.5243390005818088,61872,"{""NO"": 1.0, "">30"": 1.1640581762614306, ""<30"": 1.7354160063621191}","{""<30"": 3.0, "">30"": 1.2, ""NO"": 1.0}",
weight,0.0,0.35,0.5145305575409878,0.4626186224309066,0.5191193511008111,0.502625509899988,0.5150300601202404,61872,"{""NO"": 1.0, "">30"": 1.1640581762614306, ""<30"": 1.7354160063621191}","{""<30"": 3.0, "">30"": 1.2, ""NO"": 0.95}",
weight,0.0,0.2,0.5125768384062789,0.46477846065425105,0.4779837775202781,0.4984992539636017,0.5381731204344172,61872,"{""NO"": 1.0, "">30"": 1.0906862053806827, ""<30"": 1.3702570854832443}","{""<30"": 3.0, "">30"": 1.0, ""NO"": 0.9}",
weight_oversample,0.35,0.5,0.5104609385414988,0.46584911930627276,0.4461181923522596,0.49375943840854775,0.5387549292132653,66641,"{""NO"": 1.0, "">30"": 1.2423659811926755, ""<30"": 1.6903519466711276}","{""<30"": 3.0, "">30"": 1.0, ""NO"": 0.9}",
