model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_r177_BAG_L1,0.4457100254890111,0.4479076457974352,f1_macro,0.13277697563171387,0.1827387809753418,446.46925020217896,0.13277697563171387,0.1827387809753418,446.46925020217896,1,True,6
WeightedEnsemble_L2,0.44558512855425086,0.44993631624885716,f1_macro,0.61661696434021,0.7088620662689209,3674.675440311432,0.002788066864013672,0.010175943374633789,2.173504114151001,2,True,10
CatBoost_BAG_L1,0.445108033581,0.4497627651986649,f1_macro,0.4810519218444824,0.5159473419189453,3226.032685995102,0.4810519218444824,0.5159473419189453,3226.032685995102,1,True,3
CatBoost_r9_BAG_L1,0.42146079446605533,0.4239897885120217,f1_macro,0.12412285804748535,0.12611150741577148,272.40653800964355,0.12412285804748535,0.12611150741577148,272.40653800964355,1,True,7
ExtraTrees_r42_BAG_L1,0.41501830781357785,0.4164872857105258,f1_macro,0.6647272109985352,2.675593137741089,9.187652111053467,0.6647272109985352,2.675593137741089,9.187652111053467,1,True,8
RandomForestEntr_BAG_L1,0.41016013226527975,0.4108211603594343,f1_macro,0.2496340274810791,1.8854870796203613,3.369971990585327,0.2496340274810791,1.8854870796203613,3.369971990585327,1,True,2
RandomForestGini_BAG_L1,0.4080477684512509,0.41099464971317506,f1_macro,0.30753493309020996,1.9063348770141602,2.8931431770324707,0.30753493309020996,1.9063348770141602,2.8931431770324707,1,True,1
ExtraTreesEntr_BAG_L1,0.3925968905446153,0.3919076238341905,f1_macro,0.39902591705322266,2.4334819316864014,1.7712147235870361,0.39902591705322266,2.4334819316864014,1.7712147235870361,1,True,5
ExtraTreesGini_BAG_L1,0.39239929708408877,0.39322327096327564,f1_macro,0.4980950355529785,2.488941192626953,2.6745071411132812,0.4980950355529785,2.488941192626953,2.6745071411132812,1,True,4
CatBoost_r137_BAG_L1,0.3784074988987529,0.3825340359250446,f1_macro,0.06385684013366699,0.0603945255279541,40.98128795623779,0.06385684013366699,0.0603945255279541,40.98128795623779,1,True,9
