model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.4501478929387395,0.46864311259724145,f1_macro,2.5083682537078857,0.08119535446166992,677.8399715423584,0.0036780834197998047,0.0010411739349365234,0.18552708625793457,2,True,12
CatBoost,0.450121782942751,0.4650074470732988,f1_macro,0.3850979804992676,0.025523900985717773,528.6982967853546,0.3850979804992676,0.025523900985717773,528.6982967853546,1,True,6
NeuralNetFastAI,0.44114234973678984,0.45467482373448,f1_macro,1.8614001274108887,0.020588159561157227,66.55969572067261,1.8614001274108887,0.020588159561157227,66.55969572067261,1,True,1
NeuralNetTorch,0.4408521250257372,0.4547280835257081,f1_macro,0.1179039478302002,0.021951913833618164,76.12636685371399,0.1179039478302002,0.021951913833618164,76.12636685371399,1,True,10
XGBoost,0.43878152498029066,0.4437205453540307,f1_macro,0.11740374565124512,0.014742612838745117,4.105332851409912,0.11740374565124512,0.014742612838745117,4.105332851409912,1,True,9
LightGBM,0.43619854352216203,0.45180383905165405,f1_macro,0.16720199584960938,0.013944149017333984,6.936077117919922,0.16720199584960938,0.013944149017333984,6.936077117919922,1,True,3
LightGBMXT,0.43418840756352267,0.45017215432314234,f1_macro,0.1402881145477295,0.012090206146240234,6.270085096359253,0.1402881145477295,0.012090206146240234,6.270085096359253,1,True,2
LightGBMLarge,0.42953875432760863,0.44503661563985525,f1_macro,0.12645936012268066,0.01554107666015625,19.906038999557495,0.12645936012268066,0.01554107666015625,19.906038999557495,1,True,11
RandomForestGini,0.41876902889388107,0.4204505459692495,f1_macro,0.7343742847442627,0.03976297378540039,4.396921157836914,0.7343742847442627,0.03976297378540039,4.396921157836914,1,True,4
RandomForestEntr,0.4181957399965685,0.4170739992158867,f1_macro,0.5771489143371582,0.03589010238647461,2.512305974960327,0.5771489143371582,0.03589010238647461,2.512305974960327,1,True,5
ExtraTreesGini,0.39469862222242885,0.40119737728934385,f1_macro,0.41545534133911133,0.06689095497131348,2.652414321899414,0.41545534133911133,0.06689095497131348,2.652414321899414,1,True,7
ExtraTreesEntr,0.3944434154111985,0.4019937204714892,f1_macro,0.2755913734436035,0.056265830993652344,2.254258155822754,0.2755913734436035,0.056265830993652344,2.254258155822754,1,True,8
